Atlantic Flight Training Academy,afta.ie,200,163,200,163,node1296.myfcloud.com;node1296.myfcloud.com;www.node1296.myfcloud.com;,a0c3c1836403611f8b3c220fdc2a5eaa00d85ff17834e239c5d375f891b2ad6d,True,False,2048,49199,True,200,80857,mail.afta.ie;afta.ie;www.afta.ie;afta.ie;,7bc0c8334b81b95d235017887f7284cb392690cf9c6c5df18c73f5a099348f9a,True,False,2048,49199,True
Avolon,avolon.aero,301,227,400,209,avolon.aero;avolon.aero;www.avolon.aero;,830c71d99e20f83c1521d978840901a121a302e0906d765ccfcdc8fa41e75a57,True,False,2048,49199,True,200,155118,www.avolon.aero;avolon.aero;avolon.aero;,830c71d99e20f83c1521d978840901a121a302e0906d765ccfcdc8fa41e75a57,True,False,2048,49199,True
Baseline Aviation Services,baselineaviationservices.com,200,1853,200,1853,odin.com;,f1a6fec3b5e2304e247b41766066f81a6c4bae7c4d32c7831cb6329d9a4ef74d,True,True,1024,47,False,200,56522,odin.com;,f1a6fec3b5e2304e247b41766066f81a6c4bae7c4d32c7831cb6329d9a4ef74d,True,True,1024,47,False
BOC Aviation,bocaviation.com,301,147,200,38374,www.bocaviation.com;www.bocaviation.com;bocaviation.com;,ed12247970d606edb1daf0ab6178a45f0a0ce99f96eac31a298edc58c79d3428,True,False,2048,49172,True,301,150,bocaviation.com;www.bocaviation.com;www.bocaviation.com;,ed12247970d606edb1daf0ab6178a45f0a0ce99f96eac31a298edc58c79d3428,True,False,2048,49172,True
CAE,cae.com,301,228,301,228,www.cae.com;www.cae.com;cae.com;,f3eec57c60755034b0caed891a11535fee9e5cae2ad3679d255611035f3461cc,True,False,2048,49199,True,301,228,cae.com;www.cae.com;www.cae.com;,f3eec57c60755034b0caed891a11535fee9e5cae2ad3679d255611035f3461cc,True,False,2048,49199,True
CAE Parc Aviation,caeparcaviation.com,404,2776,404,2776,*.azurewebsites.net;*.sso.azurewebsites.net;*.azure-mobile.net;*.scm.azure-mobile.net;*.azurewebsites.net;*.scm.azurewebsites.net;,3ad191ee2c6fa994f1687e9ce55a5e8dee0850c81d7ea818748ab96729147207,True,False,2048,49199,True,200,33015,files.caeparcaviation.com;caeparcaviation.com;jobs.caeparcaviation.com;caeparcaviation.com;,ea7a89295b05592f40f28d33790b959bdf18bb3f435eb60fdd52c06b4bb3684c,True,False,2048,49199,True
CALC,calc.com.hk,200,44,200,44,s02.advertising-black.com;s02.advertising-black.com;,0529896244c553dd63363691ddfb19566ecd078bb832a206a3128730ed62282e,True,False,4096,49199,True,200,87114,s02.advertising-black.com;s02.advertising-black.com;,0529896244c553dd63363691ddfb19566ecd078bb832a206a3128730ed62282e,True,False,4096,49199,True
CDB Aviation,cdbaviation.aero,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1
CHC Helicopters,chcheli.com,200,20842,999,71,,,-1,-1,-1,-1,-1,999,65,,,-1,-1,-1,-1,-1
Chorus Aviation Capital Ireland,chorusaviation.ca,200,432,200,432,*.prnewswire.com;*.prnewswire.com;prnewswire.com;,309473978e16b2235edb90cd9bd30d338b46a1cb995c3efae5a6105d3c83cef7,True,False,2048,49199,True,301,237,www.chorusaviation.ca;chorusaviation.ca;chorusaviation.ca;,6d9953a4721652ff915712c64c165a4ce6f360f236f80d7381e101579239d52d,True,False,2048,49199,True
Cityjet,cityjet.com,-1,-1,200,15613,www.cityjet.com;www.cityjet.com;cityjet.com;,04cdb643313d30e4733f4630c732cd2eea0c7495c6d7769303a4989d522e2127,True,False,2048,49199,True,200,15611,cityjet.com;www.cityjet.com;www.cityjet.com;,04cdb643313d30e4733f4630c732cd2eea0c7495c6d7769303a4989d522e2127,True,False,2048,49199,True
CloudCards,cloudcards.ie,200,3832,200,3832,*.elive.net;*.elive.net;elive.net;,1e4573688876109f48ded9b45b4a7f1654a532c40ab001d0af738a5d7c9dd3a6,True,False,2048,49199,True,200,3832,elive.net;*.elive.net;*.elive.net;,1e4573688876109f48ded9b45b4a7f1654a532c40ab001d0af738a5d7c9dd3a6,True,False,2048,49199,True
daa,daa.ie,404,2776,404,2776,*.azurewebsites.net;*.sso.azurewebsites.net;*.azure-mobile.net;*.scm.azure-mobile.net;*.azurewebsites.net;*.scm.azurewebsites.net;,3ad191ee2c6fa994f1687e9ce55a5e8dee0850c81d7ea818748ab96729147207,True,False,2048,49199,True,301,142,*.azurewebsites.net;*.scm.azurewebsites.net;*.azurewebsites.net;*.scm.azure-mobile.net;*.azure-mobile.net;*.sso.azurewebsites.net;,3ad191ee2c6fa994f1687e9ce55a5e8dee0850c81d7ea818748ab96729147207,True,False,2048,49199,True
DAE Capital,dubaiaerospace.com,200,163,200,1745,www.awas.com;awas.com;awas.com;mail.awas.com;,3348808aab634b0fcdd54e57aa7a89ee1d47e1d3fdd35eaebe3b0cb7b0b34f51,False,True,2048,49199,False,200,113537,dubaiaerospace.com;www.dubaiaerospace.com;www.dubaiaerospace.com;,443cd356e6b0814c17cff8e258cb0c14f5b1689fc5cc3a0512c933c0db8c637e,True,False,2048,49199,True
DCU,dcu.ie,404,970,404,970,www.bi.aspjj.com;blogd7.bhphotovideo.com;www.fysium.com;glossary-dev.acquia.com;www.ap.jnj.com;ap.jnj.com;static.bhphotovideo.com;hologic.com;glossary-stage.acquia.com;www.treasury.nsw.gov.au;stageic.naswa.org;integrity.naswa.org;dev.gov2gov.net;stage-www.familyeducation.com;pauljanssenaward.com;www.pauljanssenaward.com;caringcrowd.com;www.caringcrowd.com;texaschildrens.org;texaschildrenspediatrics.org;www.texaschildrens.org;www.bhphotovideo.com;www.insuramatch.com;advantagebiosensewebsteremea.com;www.nisd.net;insuramatch.com;nolblog.www-qc.nasdaq.net;nisd.net;acquia-sites.com;nolblog.nasdaq.net;boston.familyeducation.com;www.doctorswithoutborders.org;jnjemployeediscounts.com;www.jnjemployeediscounts.com;stage-www.infoplease.com;doctorswithoutborders.org;boston.factmonster.com;stage-www.factmonster.com;boston.teachervision.com;hisense-usa.com;www.predictivetechnologies.com;stage-www.teachervision.com;records.nsw.gov.au;lexialearning.com;www.sanafor.com;www.sharp-canada.ca;acquia-sites.com;www.hologic.com;www.janssensafety.com;www.hisense-usa.com;landconservationnetwork.org;lincolninst.edu;dev-www.familyeducation.com;hyperloop-one.com;boston.infoplease.com;devic.naswa.org;glossary.acquia.com;uat.gov2gov.net;www.budget.nsw.gov.au;dev-www.teachervision.com;ipsos.com;,e860c1a37b92530595cba4adbe497ae3bb2a4646f7cb0e1cc0036da4f8c40fe5,True,False,2048,49199,True,301,227,dcu.ie;www.dcu.ie;www4.dcu.ie;www.dcu.ie;,b28cb22fe187e756467fcb69e254e2d0d129c042d5fa546355dbec6946921751,True,False,2048,49199,True
DIT,dit.ie,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1
Donegal Airport,donegalairport.ie,200,163,200,87495,acereg.com;webmail.acereg.com;www.acereg.com;mail.acereg.com;webdisk.acereg.com;acereg.com;cpanel.acereg.com;,48e9af10ca1baa337b7d90dec2f50ccdaada3ff75ef563cefb2fd95eeece77f0,True,False,2048,49199,True,200,23442,donegalairport.ie;donegalairport.ie;cpanel.donegalairport.ie;webdisk.donegalairport.ie;mail.donegalairport.ie;www.donegalairport.ie;webmail.donegalairport.ie;,056baf4653227b2a57b66d9b1cfa9f158ec66435ed2aa7526b2d23e17f96539f,True,False,2048,49199,True
DMS Governance,dmsgovernance.com,403,3584,999,64,,,-1,-1,-1,-1,-1,200,52772,iphotolibraryrecovery.com;dmsgovernance.com;kochmycori.ga;irabotirchupkotha.ml;gaterepair-coronadelmar.com;freemacrecovery.net;holbrookdentist.com;dorun.me;tyywhjjs2.gq;wellmed.us;unplggd.co;speakvorwordci.tk;macdare.com;daemulphohex.tk;*.dmscapitalsolutions.com;*.daemulphohex.tk;dmscapitalsolutions.com;*.asistenciaalcobendas.tk;sni153314.cloudflaressl.com;*.byerate.com;*.asistenciatecnicasargandadelrey.tk;*.carbonheat.ro;*.capsiplexpillsreviews.com;*.chingplemiciti.tk;*.cell-phonerecovery.com;littlestarplus.com;cell-phonerecovery.com;capsiplexpillsreviews.com;carbonheat.ro;satismadrid.tk;*.iphotolibraryrecovery.com;*.inbingertperc.tk;byerate.com;asistenciatecnicasargandadelrey.tk;*.dorun.me;*.dmsgovernance.com;*.fdbgfbhgfh.ga;*.downloadscanpstexefile.com;*.gaterepair-coronadelmar.com;*.freemacrecovery.net;*.holbrookdentist.com;*.hfhdhdh.tk;*.irabotirchupkotha.ml;*.kochmycori.ga;*.littlestarplus.com;*.macdare.com;*.mictacarpa.tk;*.obs.ky;*.rauspeakesed.tk;*.ricutersza.gq;*.satismadrid.tk;*.serviciosalgete.tk;servocalcorcon.tk;speakvorwordci.gq;chingplemiciti.tk;obs.ky;downloadscanpstexefile.com;fdbgfbhgfh.ga;asistenciaalcobendas.tk;rauspeakesed.tk;*.wellmed.us;ricutersza.gq;inbingertperc.tk;*.unplggd.co;serviciosalgete.tk;*.tyywhjjs2.gq;mictacarpa.tk;thenewevangelization.us;*.thenewevangelization.us;hfhdhdh.tk;*.speakvorwordci.tk;*.speakvorwordci.gq;sni153314.cloudflaressl.com;*.servocalcorcon.tk;,66ed4d0f959d6f06b7f5f32497bcc8d2a91cfe6d2294bdab65b0949cfdb08e1d,True,False,-1,49195,True
Dublin Aerospace,dublinaerospace.com,200,163,-1,-1,,,-1,-1,-1,-1,-1,200,74874,www.dublinaerospace.com;www.basemaintenance.com;basemaintenance.com;autodiscover.basemaintenance.com;basemaintenance.com;dublinaerospace.com;cpanel.basemaintenance.com;mail.dublinaerospace.com;mail.basemaintenance.com;webmail.basemaintenance.com;webdisk.basemaintenance.com;,642d56ea6f1f2f76cb12fbd5303bc1d1a8f2174af78e2ca5ba31959d0b013f04,True,False,2048,49199,True
Eirtech Aviation Services,eirtechaviation.ie,301,293,200,906,limegreentangerine.co.uk;limegreentangerine.co.uk;www.limegreentangerine.co.uk;,9c9241100053bffb308f9b51b4cda7f052f1e3f74e4099d2d64be330f2d7a304,True,False,2048,49199,True,301,308,www.eirtechaviation.ie;eirtechaviation.ie;eirtechaviation.ie;,63a2d5ce81ad5fcef99c3bd9c36241c41a5e55bc29fd170f32eeb0c8f3f94d3e,True,False,2048,49199,True
Eirtrade Aviation,eirtradeaviation.com,200,47,200,47,*.gridserver.com;*.gridserver.com;gridserver.com;,d727475ca23681b445eb63d35b7d1e5555f2626b160ded67df6148ff243d9ea2,True,False,2048,49199,True,200,12807,gridserver.com;*.gridserver.com;*.gridserver.com;,d727475ca23681b445eb63d35b7d1e5555f2626b160ded67df6148ff243d9ea2,True,False,2048,49199,True
ELFC,elfc.com,302,280,302,280,elfc.com;elfc.com;www.elfc.com;,eaf817db21fe170a9e0912da3e1287b358b3169b98ee233ad868d692fe4f422a,True,False,2048,49199,True,200,202347,www.elfc.com;elfc.com;elfc.com;,eaf817db21fe170a9e0912da3e1287b358b3169b98ee233ad868d692fe4f422a,True,False,2048,49199,True
Elix Aviation Capital,elix.aero,200,15610,200,15611,*.alphamarine.ie;alphamarine.ie;,adaa30fe8a98abdf9f0df630932963ab7edf39c291e977c2ed75de5a58c83707,True,True,2048,49199,False,200,15608,alphamarine.ie;*.alphamarine.ie;,adaa30fe8a98abdf9f0df630932963ab7edf39c291e977c2ed75de5a58c83707,True,True,2048,49199,False
